ID_cattura;DATA;ALBA;sessione;occasione;ID_TRAPPOLA;chip;ricattura;pelo;peso (g);sex;eta;statoripr;NOTE;DOY
9;26/07/2016;T;I (luglio);11;32;1315467;R;NA;NA;F;A;NR;;208
10;27/07/2016;A;I (luglio);12;15;NA;N;NA;33;F;NA;NA;;209
11;27/07/2016;A;I (luglio);12;28;NA;N;NA;38;M;NA;NA;;209
12;27/07/2016;A;I (luglio);12;32;1315467;R;NA;NA;F;A;NR;;209
13;27/07/2016;A;I (luglio);12;37;NA;N;NA;44;M;A;R;;209
14;27/07/2016;T;I (luglio);13;2;NA;N;NA;42;F;A;NR;;209
15;27/07/2016;T;I (luglio);13;43;NA;N;NA;46;M;A;NR;;209
16;28/07/2016;A;I (luglio);14;43;NA;N;NA;41;F;NA;NA;;210
17;28/07/2016;A;I (luglio);14;13;NA;N;NA;46;M;A;NA;;210
18;28/07/2016;A;I (luglio);14;15;NA;N;NA;32;F;NA;NA;;210
19;28/07/2016;A;I (luglio);14;30;1315467;R;NA;NA;F;A;NR;;210
20;28/07/2016;A;I (luglio);14;37;Ermellino;;;;;;;;210
21;28/07/2016;T;I (luglio);15;13;NA;N;NA;36;F;A;NA;*era senza pelo vicino alla coda;210
22;29/07/2016;A;I (luglio);16;32;1315467;R;NA;NA;F;A;NR;;211
23;29/07/2016;A;I (luglio);16;23;NA;N;NA;40;F;NA;NA;;211
24;29/07/2016;A;I (luglio);16;2;NA;N;NA;43;M;NA;NA;;211
25;29/07/2016;T;I (luglio);17;43;NA;N;NA;46;M;A;NA;;211
26;28/08/2016;A;II (sett.);1;2;NA;N;A/C g;21;NA;G;NR;;241
27;28/08/2016;A;II (sett.);1;4;NA;N;Bg;31;M;A;NR;;241
28;28/08/2016;A;II (sett.);1;17;NA;N;NA;NA;NA;A;NA;in fin di vita;241
29;28/08/2016;A;II (sett.);1;26;NA;N;A/B g;24;NA;G;NR;;241
30;28/08/2016;T;II (sett.);2;12;NA;N;A(dec)/Eg;35;M;A;NR;;241
31;28/08/2016;T;II (sett.);2;3;NA;R;Bg;38;M;A;NR;;241
32;29/08/2016;A;II (sett.);3;2;NA;N;E/F/centro g;23;NA;G;NR;;242
33;29/08/2016;A;II (sett.);3;10;NA;N;Eg/Fg;31;M;A;NR;;242
34;29/08/2016;A;II (sett.);3;46;NA;R;Bg;35;M;A;NR;;242
35;29/08/2016;A;II (sett.);3;26;1314988;N;NA;40;M;A;NR;;242
36;29/08/2016;A;II (sett.);3;39;NA;N;Bb;22;F;G;NR;;242
37;29/08/2016;A;II (sett.);3;38;NA;N;C/Dg;41;M;A;R;;242
38;29/08/2016;A;II (sett.);3;35;NA;N;B/Eb;22;F;G;NR;;242
39;29/08/2016;A;II (sett.);3;34;1315467;R;NA;30;F;A;NR;deceduta;242
40;29/08/2016;T;II (sett.);4;16;NA;N;NA;33;M;A;NR;;242
41;29/08/2016;T;II (sett.);4;46;NA;R;Bg;36;M;A;NR;;242
42;29/08/2016;T;II (sett.);4;43;NA;R;C/Dg;41;M;A;R;;242
43;29/08/2016;T;II (sett.);4;23;NA;R;E/F/centro g;23;NA;G;NR;;242
44;01/09/2016;A;II (sett.);9;31;NA;N;D/Fg;20;NA;G;NR;;245
45;01/09/2016;A;II (sett.);9;32;1314988;R;NA;40;M;A;NR;;245
46;01/09/2016;A;II (sett.);9;2;NA;N;C/Eb;20;NA;G;NR;;245
47;01/09/2016;A;II (sett.);9;43;NA;N;NA;NA;NA;G;NR;;245
48;01/09/2016;A;II (sett.);9;41;NA;NA;NA;NA;NA;A;NA;scappato;245
49;01/09/2016;A;II (sett.);9;40;NA;R;buchi in A/B;24;NA;A;NA;;245
50;01/09/2016;A;II (sett.);9;42;1315647;N;NA;34;F;A;NR;;245
51;01/09/2016;A;II (sett.);9;57;NA;R;C/Dg;35;M;A;NR;buchi pelo e orecchio tagliato;245
52;01/09/2016;T;II (sett.);10;57;NA;N;D/Eb;28;F;A;NR;;245
53;01/09/2016;T;II (sett.);10;60;NA;N;Cb/Eg;26;NA;G;NR;;245
54;01/09/2016;T;II (sett.);10;16;NA;R;C/Dg;35;M;A;NR;;245
55;01/09/2016;T;II (sett.);10;5;NA;R;Bg;38;M;A;NR;no pelo in B;245
56;01/09/2016;T;II (sett.);10;3;NA;R;C/Eb;24;NA;G;NR;;245
57;01/09/2016;T;II (sett.);10;28;NA;R;D/Fg;24;NA;G;NR;;245
58;01/09/2016;T;II (sett.);10;31;NA;N;NA;26;F;G;NR;;245
59;02/09/2016;A;II (sett.);11;56;NA;R;C/Dg;32;M;A;NR;orecchio;246
60;02/09/2016;A;II (sett.);11;11;NA;N;Eg/Fb;25;F;G;NR;;246
61;02/09/2016;A;II (sett.);11;9;NA;N;Bg/Cb/Eb;23;F;G;NR;;246
62;02/09/2016;A;II (sett.);11;8;NA;N;A/Cg Bb;23;NA;G;NR;;246
63;02/09/2016;A;II (sett.);11;43;NA;R;buchi in A/B;NA;M;A;NR;morto;246
64;02/09/2016;A;II (sett.);11;28;NA;N;A/Eg/ Cb;25;NA;G;NR;;246
65;02/09/2016;A;II (sett.);11;30;1314988;R;NA;37;M;A;NR;ricatturato dopo 5 min nella trp. 32 per 2 voltr;246
66;02/09/2016;A;II (sett.);11;31;NA;R;Bb;24;NA;G;NR;;246
67;02/09/2016;A;II (sett.);11;33;NA;N;Eg;21;M;G;NR;;246
68;02/09/2016;A;II (sett.);11;44;NA;R;Bg;35;M;A;NR;;246
69;02/09/2016;T;II (sett.);12;60;NA;R;C/Dg;35;M;A;NR;orecchio;246
70;02/09/2016;T;II (sett.);12;32;NA;N;B/Fb /Dg;25;F;G;NR;;246
71;03/09/2016;A;II (sett.);13;31;1314988;R;NA;37;M;A;NR;ricatturato dopo 10 min nella trap. 30;247
72;03/09/2016;A;II (sett.);13;56;NA;N;A/Eg B/Fb;27;F;A;NR;;247
73;03/09/2016;A;II (sett.);13;19;NA;R;C/Dg;31;M;A;NR;orecchio;247
74;03/09/2016;A;II (sett.);13;42;NA;R;buchi in B/D;28;M;A;NR;buchi in B/D, guance, sopra coda;247
75;03/09/2016;A;II (sett.);13;35;NA;N;NA;23;NA;G;NR;;247
76;03/09/2016;T;II (sett.);14;60;NA;R;C/Dg;32;M;A;NR;orecchio;247
77;03/09/2016;T;II (sett.);14;44;NA;R;buchi in B/D;34;M;A;NR;buchi in B/D, guance, sopra coda;247
78;03/09/2016;T;II (sett.);14;39;NA;R;D/Fg;22;M;G;NR;;247
79;03/09/2016;T;II (sett.);14;32;NA;R;ID 50;24;IND;G;NR;;247
80;04/09/2016;A;II (sett.);15;32;1314988;R;NA;NA;M;A;NR;morto;248
81;04/09/2016;A;II (sett.);15;29;NA;R;ID50;20;IND;G;NR;;248
82;04/09/2016;A;II (sett.);15;2;NA;N;NA;32;IND;G;NR;;248
83;04/09/2016;A;II (sett.);15;50;NA;R;C/Dg;25;M;A;NR;;248
84;04/09/2016;A;II (sett.);15;15;NA;R;C/Dg;30;M;A;NR;;248
85;04/09/2016;A;II (sett.);15;11;NA;N;NA;21;IND;G;NR;;248
86;04/09/2016;A;II (sett.);15;47;NA;N;B/centro sedere;22;IND;G;NR;;248
87;04/09/2016;T;II (sett.);16;2;NA;N;NA;24;IND;G;NR;;248
88;04/09/2016;T;II (sett.);16;3;NA;N;NA;24;IND;G;NR;;248
89;04/09/2016;T;II (sett.);16;47;NA;R;C/Dg;29;M;A;NR;;248
90;04/09/2016;T;II (sett.);16;32;NA;R;ID 50;24;IND;G;NR;;248
91;05/09/2016;A;II (sett.);17;2;NA;N;NA;24;IND;G;NR;;249
92;05/09/2016;A;II (sett.);17;14;NA;N;NA;23;IND;G;NR;;249
93;05/09/2016;A;II (sett.);17;13;NA;R;C/Dg;29;M;A;NR;ricatturato dopo 5 min in ID 48;249
94;05/09/2016;A;II (sett.);17;11;NA;N;NA;21;M;G;NR;;249
95;05/09/2016;A;II (sett.);17;21;NA;R;NA;30;M;A;NR;;249
96;05/09/2016;A;II (sett.);17;44;NA;R;Bg;20;IND;G;NR;;249
97;05/09/2016;A;II (sett.);17;3;NA;N;NA;20;IND;G;NR;;249
98;05/09/2016;A;II (sett.);17;30;NA;R;ID 50;22;M;G;NR;;249
99;05/09/2016;A;II (sett.);17;32;1313472;N;NA;25;F;A;NR;;249
100;05/09/2016;A;II (sett.);17;37;NA;R;D/Fg;22;M;G;NR;buco in F;249
101;05/09/2016;T;II (sett.);18;37;NA;R;D/Fg;25;M;G;NR;buco in F;249
102;05/09/2016;T;II (sett.);18;47;NA;N;NA;23;IND;G;NR;;249
1;21/08/2017;A;I (agosto);1;4;NA;N;Ag;34;M;A;R;;233
2;21/08/2017;T;I (agosto);2;43;NA;R;E/F buchi;34;M;A;NR;;233
3;22/08/2017;A;I (agosto);3;30;NA;N;Eg;12;IND;G;NR;;234
4;22/08/2017;A;I (agosto);3;41;NA;R;E/F buchi;NA;NA;NA;NA;morto;234
5;22/08/2017;T;I (agosto);4;33;NA;R;Eg;12;IND;G;NR;;234
6;22/08/2017;T;I (agosto);4;35;NA;N;B/Fg;13;M;G;NR;;234
7;23/08/2017;A;I (agosto);5;47;NA;N;C/Dg;30;M;A;NR;;235
8;23/08/2017;T;I (agosto);6;29;NA;R;B/Fg;12;M;G;NR;;235
9;24/08/2017;T;I (agosto);8;23;NA;NA;NA;NA;NA;NA;NA;;236
10;24/08/2017;T;I (agosto);8;43;NA;R;C/Dg;21;M;A;NR;;236
11;25/08/2017;T;I (agosto);10;23;NA;N;centrog;42;M;A;NR;;237
12;25/08/2017;T;I (agosto);10;4;NA;R;centrog;34;M;A;NR;;237
13;26/08/2017;A;I (agosto);11;5;NA;R;centrog;43;M;A;NR;;238
14;26/08/2017;A;I (agosto);11;34;NA;N;Cb;32;M;A;NR;;238
15;26/08/2017;A;I (agosto);11;37;NA;R;B/Fg;16;M;G;NR;;238
16;26/08/2017;A;I (agosto);11;39;NA;R;C/Dg;30;M;A;NR;;238
17;26/08/2017;A;I (agosto);11;40;NA;R;Eb;25;M;A;NR;;238
18;26/08/2017;A;I (agosto);11;46;NA;N;A/Db;43;M;A;R;;238
19;26/08/2017;A;I (agosto);11;16;NA;N;A/Bb;25;F;G;NR;;238
